Symbol,Date,Time,Open,High,Low,Close,TotalVolume,,,,,,,,,,,,,,,,Open
2317,2024/10/21,12:49:00,210,210,209,209.5,652,,,,,,,,,,,,,,,,
2317,2024/10/21,12:50:00,209.5,210,209,209.5,376,,,,,,,,,,,,,,,,
2317,2024/10/21,12:51:00,210,210,209.5,210,289,,,,,,,,,,,,,,,,
2317,2024/10/21,12:52:00,209.5,210,209.5,209.5,37,,,,,,,,,,,,,,,,
2317,2024/10/21,12:53:00,210,210,209.5,209.5,113,,,,,,,,,,,,,,,,
2317,2024/10/21,12:54:00,209.5,210,209,209.5,220,,,,,,,,,,,,,,,,
2317,2024/10/21,12:55:00,209.5,210,209,209.5,167,,,,,,,,,,,,,,,,
2317,2024/10/21,12:56:00,210,210,209.5,210,82,,,,,,,,,,,,,,,,
2317,2024/10/21,12:57:00,209.5,210,209.5,209.5,132,,,,,,,,,,,,,,,,
2317,2024/10/21,12:58:00,209.5,210,209.5,209.5,113,,,,,,,,,,,,,,,,
2317,2024/10/21,12:59:00,209.5,210,209.5,209.5,103,,,,,,,,,,,,,,,,
2317,2024/10/21,13:00:00,209.5,210,209.5,209.5,50,,,,,,,,,,,,,,,,
2317,2024/10/21,13:01:00,209.5,210,209.5,209.5,51,,,,,,,,,,,,,,,,
2317,2024/10/21,13:02:00,210,210,209.5,209.5,147,,,,,,,,,,,,,,,,
2317,2024/10/21,13:03:00,209.5,210,209.5,209.5,52,,,,,,,,,,,,,,,,
2317,2024/10/21,13:04:00,209.5,210,209.5,209.5,84,,,,,,,,,,,,,,,,
2317,2024/10/21,13:05:00,209.5,210,209.5,209.5,93,,,,,,,,,,,,,,,,
2317,2024/10/21,13:06:00,209.5,210,209.5,209.5,157,,,,,,,,,,,,,,,,
2317,2024/10/21,13:07:00,210,210,209,209,201,,,,,,,,,,,,,,,,
2317,2024/10/21,13:08:00,209,209.5,209,209.5,105,,,,,,,,,,,,,,,,
2317,2024/10/21,13:09:00,209.5,209.5,209,209.5,71,,,,,,,,,,,,,,,,
2317,2024/10/21,13:10:00,209.5,209.5,209,209,121,,,,,,,,,,,,,,,,
2317,2024/10/21,13:11:00,209.5,209.5,209,209.5,91,,,,,,,,,,,,,,,,
2317,2024/10/21,13:12:00,209.5,209.5,209,209.5,154,,,,,,,,,,,,,,,,
2317,2024/10/21,13:13:00,209,209.5,209,209.5,94,,,,,,,,,,,,,,,,
2317,2024/10/21,13:14:00,209.5,209.5,209,209.5,89,,,,,,,,,,,,,,,,
2317,2024/10/21,13:15:00,209.5,209.5,209,209.5,121,,,,,,,,,,,,,,,,
2317,2024/10/21,13:16:00,209.5,209.5,209,209.5,104,,,,,,,,,,,,,,,,
2317,2024/10/21,13:17:00,209.5,209.5,209,209.5,192,,,,,,,,,,,,,,,,
2317,2024/10/21,13:18:00,209.5,209.5,209,209,209,,,,,,,,,,,,,,,,
2317,2024/10/21,13:19:00,209,209.5,209,209.5,127,,,,,,,,,,,,,,,,
2317,2024/10/21,13:20:00,209.5,209.5,209,209.5,140,,,,,,,,,,,,,,,,
2317,2024/10/21,13:21:00,209.5,209.5,209,209.5,175,,,,,,,,,,,,,,,,
2317,2024/10/21,13:22:00,209,209.5,209,209.5,166,,,,,,,,,,,,,,,,
2317,2024/10/21,13:23:00,209.5,209.5,209,209,229,,,,,,,,,,,,,,,,
2317,2024/10/21,13:24:00,209.5,209.5,209,209.5,252,,,,,,,,,,,,,,,,
2317,2024/10/21,13:25:00,209,209.5,209,209.5,1381,,,,,,,,,,,,,,,,
2317,2024/10/21,13:30:00,210,210,210,210,3701,,,,,,,,,,,,,,,,
2317,2024/10/22,09:01:00,211,211,210.5,210.5,2409,,,,,,,,,,,,,,,,
2317,2024/10/22,09:02:00,211,211,210,210,1039,,,,,,,,,,,,,,,,
2317,2024/10/22,09:03:00,210,210.5,210,210,367,,,,,,,,,,,,,,,,
2317,2024/10/22,09:04:00,210.5,210.5,210,210.5,294,,,,,,,,,,,,,,,,
2317,2024/10/22,09:05:00,210,210.5,209.5,209.5,987,,,,,,,,,,,,,,,,
2317,2024/10/22,09:06:00,209.5,210,209.5,209.5,383,,,,,,,,,,,,,,,,
2317,2024/10/22,09:07:00,209.5,210,209.5,209.5,357,,,,,,,,,,,,,,,,
2317,2024/10/22,09:08:00,209.5,210,209.5,209.5,320,,,,,,,,,,,,,,,,
2317,2024/10/22,09:09:00,209.5,210,209,210,660,,,,,,,,,,,,,,,,
2317,2024/10/22,09:10:00,209.5,210,209.5,209.5,87,,,,,,,,,,,,,,,,
2317,2024/10/22,09:11:00,210,210,209.5,209.5,115,,,,,,,,,,,,,,,,
